user_id,education,experience,user_location,user_skill,skills_required,job_title,relevance_score,selected,salary
1,Master,0,Port Said,SQL;C++;Java;CSS,NLP;Deep Learning;Python,Data Scientist,0.0,0,71178
2,Bachelor,6,Alexandria,CSS;SQL;PyTorch,Machine Learning;TensorFlow;Deep Learning,Machine Learning Engineer,0.0,0,93902
3,Bachelor,0,Alexandria,Deep Learning;Machine Learning;C++;SQL;PyTorch;Python,Deep Learning;Python;SQL,Data Scientist,1.0,0,56473
4,Master,8,Cairo,CSS;Java;NLP;TensorFlow;Machine Learning;JavaScript,JavaScript;C++;Java,Software Developer,0.67,1,107806
5,Bachelor,7,Port Said,SQL;Java;NLP,CSS;HTML;C++,Software Developer,0.0,0,87842
6,Bachelor,6,Port Said,JavaScript;TensorFlow;C++,Deep Learning;NLP;TensorFlow,AI Engineer,0.33,0,101465
7,Bachelor,7,Port Said,SQL;Python;Deep Learning,Deep Learning;Python;TensorFlow,Machine Learning Engineer,0.67,1,98327
8,PhD,10,Alexandria,NLP;TensorFlow;HTML;C++;Machine Learning;Java,PyTorch;TensorFlow;Machine Learning,AI Engineer,0.67,1,143683
9,Master,13,Luxor,Deep Learning;SQL;C++;CSS;HTML;Python,Python;SQL;Machine Learning,Data Scientist,0.67,1,132674
10,Bachelor,13,Luxor,NLP;PyTorch;JavaScript,PyTorch;Deep Learning;TensorFlow,Machine Learning Engineer,0.33,0,126442
11,Master,0,Cairo,TensorFlow;Deep Learning;Java;Machine Learning;NLP,NLP;Python;Machine Learning,AI Engineer,0.67,0,81259
12,PhD,5,Luxor,TensorFlow;Machine Learning;CSS,Deep Learning;Machine Learning;PyTorch,AI Engineer,0.33,0,114120
13,Bachelor,0,Luxor,HTML;Python;Java;Deep Learning;Machine Learning,Python;Deep Learning;PyTorch,AI Engineer,0.67,0,74387
14,Bachelor,15,Cairo,C++;TensorFlow;HTML;CSS,Machine Learning;TensorFlow;NLP,AI Engineer,0.33,0,145739
15,PhD,6,Port Said,TensorFlow;PyTorch;Deep Learning;HTML;CSS;Python,Deep Learning;Python;Machine Learning,AI Engineer,0.67,1,121346
16,Bachelor,7,Luxor,Python;Java;PyTorch;SQL,Python;Machine Learning;NLP,Data Scientist,0.33,0,98731
17,Bachelor,8,Giza,CSS;C++;JavaScript;HTML,NLP;PyTorch;Deep Learning,AI Engineer,0.0,0,106894
18,Bachelor,13,Port Said,NLP;HTML;Python;Java;JavaScript;SQL,Java;C++;JavaScript,Software Developer,0.67,1,123605
19,Bachelor,14,Alexandria,C++;Machine Learning;HTML;SQL;Java;CSS,Python;NLP;Deep Learning,Data Scientist,0.0,0,129859
20,PhD,7,Alexandria,HTML;PyTorch;SQL;NLP;Python;Java,Python;TensorFlow;Machine Learning,Machine Learning Engineer,0.33,0,115661
21,PhD,14,Port Said,PyTorch;CSS;HTML;C++;SQL;TensorFlow,Python;TensorFlow;PyTorch,AI Engineer,0.67,1,158530
22,Master,1,Cairo,CSS;PyTorch;C++;Python;Java;NLP,Python;TensorFlow;PyTorch,AI Engineer,0.67,0,89213
23,Master,7,Giza,JavaScript;SQL;PyTorch,NLP;Python;SQL,Data Scientist,0.33,0,106460
24,Master,10,Port Said,TensorFlow;Deep Learning;SQL;Machine Learning,Machine Learning;Deep Learning;PyTorch,Machine Learning Engineer,0.67,1,120602
25,Bachelor,2,Cairo,JavaScript;PyTorch;Java;TensorFlow;SQL;Machine Learning,C++;HTML;Java,Software Developer,0.33,0,60424
26,Master,11,Port Said,HTML;CSS;Machine Learning;TensorFlow,NLP;Machine Learning;Deep Learning,Data Scientist,0.33,0,124078
27,Bachelor,4,Port Said,Java;CSS;C++,HTML;JavaScript;C++,Software Developer,0.33,0,77025
28,Master,6,Port Said,Machine Learning;Python;Java;NLP;PyTorch;TensorFlow,Machine Learning;SQL;NLP,Data Scientist,0.67,1,100759
29,PhD,5,Giza,CSS;Python;Java;JavaScript;C++;Machine Learning,Machine Learning;SQL;Deep Learning,Data Scientist,0.33,0,109494
30,Bachelor,9,Port Said,Deep Learning;SQL;TensorFlow,Machine Learning;Deep Learning;NLP,Data Scientist,0.33,0,107930
31,Master,7,Alexandria,NLP;Python;C++;Deep Learning,Machine Learning;Deep Learning;Python,Machine Learning Engineer,0.67,1,111305
32,Master,3,Giza,HTML;SQL;TensorFlow,Deep Learning;PyTorch;Python,Machine Learning Engineer,0.0,0,88384
33,Bachelor,6,Giza,Machine Learning;Java;PyTorch;Deep Learning;NLP,Java;Python;HTML,Software Developer,0.33,0,87151
34,Bachelor,8,Cairo,JavaScript;NLP;Deep Learning,CSS;JavaScript;Java,Software Developer,0.33,0,98891
35,Bachelor,6,Port Said,PyTorch;NLP;Python,Machine Learning;NLP;Python,AI Engineer,0.67,1,96363
36,PhD,10,Luxor,TensorFlow;Java;Machine Learning;CSS;JavaScript,Deep Learning;TensorFlow;PyTorch,Machine Learning Engineer,0.33,0,135006
37,Bachelor,4,Alexandria,TensorFlow;NLP;C++;Machine Learning;PyTorch;CSS,Machine Learning;NLP;Python,Data Scientist,0.67,1,76704
38,Bachelor,10,Giza,HTML;TensorFlow;SQL;CSS;PyTorch;NLP,PyTorch;Python;Machine Learning,AI Engineer,0.33,0,119213
39,Bachelor,10,Cairo,TensorFlow;Machine Learning;SQL;JavaScript,Python;PyTorch;Deep Learning,AI Engineer,0.0,0,120130
40,PhD,2,Giza,TensorFlow;JavaScript;SQL;NLP;HTML;PyTorch,Deep Learning;Python;TensorFlow,AI Engineer,0.33,0,101161
41,Master,7,Alexandria,Python;CSS;SQL;Java;HTML;TensorFlow,PyTorch;Deep Learning;Machine Learning,Machine Learning Engineer,0.0,0,112890
42,Master,13,Luxor,C++;HTML;TensorFlow;Machine Learning;SQL;NLP,JavaScript;CSS;C++,Software Developer,0.33,0,125167
43,Bachelor,2,Port Said,Machine Learning;Deep Learning;TensorFlow;CSS,SQL;NLP;Python,Data Scientist,0.0,0,68089
44,Bachelor,4,Alexandria,NLP;PyTorch;Deep Learning,TensorFlow;Python;PyTorch,Machine Learning Engineer,0.33,0,85313
45,Master,12,Luxor,JavaScript;NLP;HTML,Machine Learning;NLP;SQL,Data Scientist,0.33,0,128067
46,Master,13,Luxor,HTML;SQL;Machine Learning;NLP,Python;TensorFlow;Machine Learning,Machine Learning Engineer,0.33,0,137112
47,Master,12,Alexandria,C++;JavaScript;CSS;Python;NLP;Machine Learning,Python;Deep Learning;NLP,Data Scientist,0.67,1,127863
48,Master,5,Cairo,NLP;Deep Learning;SQL;HTML;TensorFlow,CSS;HTML;Python,Software Developer,0.33,0,86761
49,Bachelor,2,Giza,PyTorch;CSS;Python,C++;Java;JavaScript,Software Developer,0.0,0,69761
50,Master,7,Alexandria,JavaScript;C++;SQL,NLP;Python;Deep Learning,AI Engineer,0.0,0,112120
51,Bachelor,8,Port Said,JavaScript;PyTorch;Java;C++,Java;JavaScript;Python,Software Developer,0.67,1,98806
52,PhD,12,Giza,Java;JavaScript;SQL;PyTorch,Python;JavaScript;Java,Software Developer,0.67,1,130045
53,Master,1,Port Said,TensorFlow;Deep Learning;Java;CSS;PyTorch;Python,TensorFlow;Python;Machine Learning,Machine Learning Engineer,0.67,0,80482
54,PhD,14,Alexandria,C++;CSS;Machine Learning;TensorFlow;HTML;SQL,PyTorch;Deep Learning;Machine Learning,Machine Learning Engineer,0.33,0,153537
55,Master,2,Port Said,SQL;HTML;JavaScript;NLP;Deep Learning;Python,Deep Learning;Machine Learning;TensorFlow,Machine Learning Engineer,0.33,0,82938
56,Bachelor,8,Port Said,JavaScript;Machine Learning;CSS;Python;SQL,SQL;Deep Learning;NLP,Data Scientist,0.33,0,100270
57,Bachelor,7,Giza,HTML;Python;Java;Machine Learning;SQL;PyTorch,Machine Learning;TensorFlow;PyTorch,AI Engineer,0.67,1,105925
58,Bachelor,11,Giza,Deep Learning;HTML;Machine Learning;JavaScript;CSS,Python;Deep Learning;Machine Learning,AI Engineer,0.67,1,127383
59,Bachelor,5,Alexandria,PyTorch;HTML;Machine Learning;CSS,Java;C++;HTML,Software Developer,0.33,0,79884
60,Bachelor,5,Port Said,PyTorch;CSS;C++,Java;Python;HTML,Software Developer,0.0,0,79820
61,Master,4,Giza,Python;JavaScript;Machine Learning,TensorFlow;PyTorch;Machine Learning,Machine Learning Engineer,0.33,0,93489
62,Bachelor,1,Port Said,Java;PyTorch;NLP;HTML;TensorFlow;Machine Learning,SQL;NLP;Machine Learning,Data Scientist,0.67,0,69261
63,PhD,2,Alexandria,CSS;NLP;JavaScript,TensorFlow;NLP;PyTorch,AI Engineer,0.33,0,100059
64,PhD,9,Luxor,Machine Learning;JavaScript;TensorFlow;Python;Java;NLP,PyTorch;Deep Learning;Machine Learning,AI Engineer,0.33,0,138971
65,Master,5,Alexandria,CSS;Java;C++;Python,TensorFlow;PyTorch;Machine Learning,Machine Learning Engineer,0.0,0,104522
66,Bachelor,9,Port Said,Java;TensorFlow;SQL;Machine Learning;JavaScript;HTML,NLP;SQL;Machine Learning,Data Scientist,0.67,1,109935
67,Bachelor,8,Alexandria,Python;C++;Machine Learning,CSS;Java;Python,Software Developer,0.33,0,98033
68,Master,12,Port Said,HTML;Java;JavaScript;Python;NLP;Deep Learning,JavaScript;HTML;Java,Software Developer,1.0,1,124392
69,Bachelor,0,Port Said,C++;HTML;CSS,Deep Learning;Machine Learning;PyTorch,Machine Learning Engineer,0.0,0,68531
70,Bachelor,15,Cairo,Deep Learning;NLP;PyTorch;JavaScript;Java;TensorFlow,Machine Learning;NLP;TensorFlow,AI Engineer,0.67,1,147272
71,Bachelor,12,Luxor,HTML;Java;Deep Learning,HTML;Java;CSS,Software Developer,0.67,1,117713
72,Master,0,Luxor,NLP;Python;SQL;CSS;Deep Learning;Machine Learning,TensorFlow;Python;PyTorch,Machine Learning Engineer,0.33,0,78698
73,Bachelor,4,Port Said,PyTorch;HTML;Java;Python;SQL;Deep Learning,Machine Learning;TensorFlow;Python,AI Engineer,0.33,0,87279
74,Bachelor,2,Alexandria,HTML;Java;C++,Deep Learning;PyTorch;Machine Learning,Machine Learning Engineer,0.0,0,75697
75,Master,15,Alexandria,CSS;C++;NLP;SQL;TensorFlow;JavaScript,Machine Learning;Deep Learning;SQL,Data Scientist,0.33,0,145111
76,PhD,8,Cairo,PyTorch;Machine Learning;JavaScript;HTML;C++,PyTorch;TensorFlow;Machine Learning,Machine Learning Engineer,0.67,1,127544
77,Bachelor,12,Giza,SQL;PyTorch;JavaScript;NLP;TensorFlow,Python;Deep Learning;TensorFlow,Machine Learning Engineer,0.33,0,129690
78,Bachelor,12,Giza,HTML;Python;C++;CSS,Java;CSS;Python,Software Developer,0.67,1,112963
79,Bachelor,14,Cairo,NLP;TensorFlow;C++;Java,Deep Learning;PyTorch;TensorFlow,Machine Learning Engineer,0.33,0,138181
80,Master,2,Port Said,Deep Learning;TensorFlow;HTML;CSS;Python;Machine Learning,SQL;Machine Learning;Python,Data Scientist,0.67,0,82747
81,Master,13,Cairo,HTML;C++;Machine Learning,Python;Machine Learning;NLP,Data Scientist,0.33,0,130573
82,Bachelor,11,Giza,SQL;CSS;NLP;C++,Deep Learning;Python;NLP,AI Engineer,0.33,0,127814
83,Master,7,Giza,SQL;HTML;Machine Learning;TensorFlow,Python;Java;CSS,Software Developer,0.0,0,97540
84,PhD,5,Cairo,Deep Learning;JavaScript;Machine Learning;NLP;TensorFlow;SQL,C++;CSS;JavaScript,Software Developer,0.33,0,96550
85,Bachelor,12,Luxor,JavaScript;Machine Learning;TensorFlow;Python;NLP,Java;JavaScript;Python,Software Developer,0.67,1,110466
86,PhD,15,Port Said,JavaScript;Deep Learning;SQL;PyTorch,Python;C++;Java,Software Developer,0.0,0,152437
87,PhD,1,Port Said,Python;JavaScript;Deep Learning;C++;Java;CSS,Python;CSS;C++,Software Developer,1.0,0,75770
88,Bachelor,11,Luxor,C++;Machine Learning;HTML;TensorFlow;Deep Learning,Deep Learning;Python;NLP,Data Scientist,0.33,0,111066
89,Master,7,Giza,Java;NLP;Python;Machine Learning;PyTorch,Deep Learning;PyTorch;TensorFlow,Machine Learning Engineer,0.33,0,112262
90,Bachelor,11,Cairo,HTML;Python;JavaScript;CSS,JavaScript;C++;Java,Software Developer,0.33,0,105869
91,Master,14,Port Said,Java;C++;Python;JavaScript;Machine Learning;SQL,Python;SQL;Machine Learning,Data Scientist,1.0,1,137086
92,Bachelor,14,Port Said,JavaScript;C++;NLP;Java;HTML;Machine Learning,Deep Learning;Python;PyTorch,Machine Learning Engineer,0.0,0,133279
93,Bachelor,14,Giza,Deep Learning;Java;PyTorch;CSS,Java;CSS;HTML,Software Developer,0.67,1,122601
94,Bachelor,3,Giza,TensorFlow;SQL;JavaScript,Python;Machine Learning;NLP,Data Scientist,0.0,0,71493
95,PhD,6,Cairo,JavaScript;SQL;TensorFlow;Deep Learning,TensorFlow;Python;Machine Learning,AI Engineer,0.33,0,123661
96,Master,4,Alexandria,C++;Java;Python;PyTorch;JavaScript,C++;JavaScript;HTML,Software Developer,0.67,1,86962
97,Bachelor,8,Cairo,PyTorch;NLP;CSS;Java,Deep Learning;NLP;SQL,Data Scientist,0.33,0,104512
98,Bachelor,3,Giza,JavaScript;Python;CSS;Machine Learning,Python;PyTorch;Machine Learning,Machine Learning Engineer,0.67,1,79695
99,Master,13,Cairo,PyTorch;HTML;Java;JavaScript;Deep Learning;Machine Learning,Python;Deep Learning;Machine Learning,AI Engineer,0.67,1,147923
100,Master,10,Giza,HTML;CSS;JavaScript;NLP;Java,NLP;SQL;Deep Learning,Data Scientist,0.33,0,121954
101,Bachelor,7,Giza,HTML;NLP;TensorFlow;Java;Deep Learning,Deep Learning;PyTorch;Machine Learning,Machine Learning Engineer,0.33,0,96403
102,PhD,15,Cairo,Java;PyTorch;NLP,Machine Learning;SQL;NLP,Data Scientist,0.33,0,157270
103,Bachelor,10,Cairo,Deep Learning;TensorFlow;NLP;Python;Machine Learning;HTML,HTML;Java;C++,Software Developer,0.33,0,103166
104,Bachelor,15,Alexandria,Deep Learning;CSS;PyTorch,Machine Learning;SQL;Deep Learning,Data Scientist,0.33,0,134579
105,Master,0,Luxor,Python;C++;Machine Learning;JavaScript;Deep Learning,Java;C++;JavaScript,Software Developer,0.67,0,67491
106,Bachelor,12,Cairo,PyTorch;TensorFlow;Python;Java,NLP;PyTorch;TensorFlow,AI Engineer,0.67,1,132972
107,Bachelor,11,Port Said,JavaScript;PyTorch;Java;Python;C++,TensorFlow;Python;PyTorch,AI Engineer,0.67,1,123172
108,Bachelor,13,Giza,NLP;Machine Learning;SQL;CSS;Java;C++,Python;Deep Learning;TensorFlow,Machine Learning Engineer,0.0,0,133396
109,Master,15,Luxor,Python;SQL;NLP;PyTorch;CSS,Machine Learning;Deep Learning;TensorFlow,AI Engineer,0.0,0,154396
110,Master,9,Port Said,Python;HTML;NLP,Deep Learning;NLP;PyTorch,AI Engineer,0.33,0,122766
111,Bachelor,11,Cairo,PyTorch;Python;NLP;TensorFlow;HTML;CSS,JavaScript;CSS;Python,Software Developer,0.67,1,111849
112,Master,13,Port Said,NLP;Python;Deep Learning,TensorFlow;NLP;Machine Learning,AI Engineer,0.33,0,145010
113,Bachelor,3,Alexandria,JavaScript;NLP;CSS;Java;TensorFlow;HTML,Python;HTML;C++,Software Developer,0.33,0,74710
114,Bachelor,5,Cairo,CSS;PyTorch;SQL,HTML;C++;JavaScript,Software Developer,0.0,0,82735
115,Bachelor,8,Alexandria,JavaScript;C++;Java;TensorFlow,TensorFlow;PyTorch;Deep Learning,Machine Learning Engineer,0.33,0,103915
116,PhD,10,Port Said,HTML;Java;PyTorch;JavaScript,HTML;JavaScript;Java,Software Developer,1.0,1,122057
117,Bachelor,2,Port Said,HTML;Python;TensorFlow;Deep Learning;Machine Learning;JavaScript,NLP;Deep Learning;SQL,Data Scientist,0.33,0,72191
118,Bachelor,1,Giza,Deep Learning;JavaScript;HTML;CSS,Python;NLP;PyTorch,AI Engineer,0.0,0,76445
119,Master,10,Cairo,Python;SQL;HTML;JavaScript,Machine Learning;PyTorch;TensorFlow,AI Engineer,0.0,0,128389
120,Bachelor,10,Luxor,TensorFlow;PyTorch;Deep Learning,Machine Learning;Python;NLP,Data Scientist,0.0,0,108016
121,Master,9,Port Said,Deep Learning;Java;JavaScript;C++,HTML;CSS;C++,Software Developer,0.33,0,111430
122,Bachelor,2,Port Said,TensorFlow;Deep Learning;C++;CSS;Java;PyTorch,PyTorch;Deep Learning;Python,Machine Learning Engineer,0.67,0,72006
123,Bachelor,5,Alexandria,HTML;SQL;TensorFlow;C++;CSS,Machine Learning;Python;NLP,Data Scientist,0.0,0,81461
124,Master,1,Port Said,JavaScript;NLP;C++;PyTorch,PyTorch;TensorFlow;Deep Learning,AI Engineer,0.33,0,86257
125,Master,1,Giza,TensorFlow;SQL;HTML;Machine Learning;JavaScript,TensorFlow;Deep Learning;Machine Learning,AI Engineer,0.67,0,80324
126,PhD,15,Alexandria,TensorFlow;JavaScript;HTML;PyTorch;Machine Learning,PyTorch;TensorFlow;Python,Machine Learning Engineer,0.67,1,162068
127,Master,4,Port Said,TensorFlow;HTML;Deep Learning,NLP;Python;SQL,Data Scientist,0.0,0,91287
128,Bachelor,5,Port Said,CSS;C++;NLP;Java;SQL;JavaScript,Deep Learning;Python;Machine Learning,Machine Learning Engineer,0.0,0,90981
129,Bachelor,11,Alexandria,Java;Deep Learning;SQL;Python;TensorFlow;CSS,C++;Python;Java,Software Developer,0.67,1,106923
130,Bachelor,15,Alexandria,HTML;JavaScript;Python;Java;TensorFlow;C++,Deep Learning;TensorFlow;NLP,AI Engineer,0.33,0,147811
131,Bachelor,9,Alexandria,Java;Python;SQL;NLP;HTML,Python;Deep Learning;Machine Learning,Data Scientist,0.33,0,105676
132,Bachelor,7,Alexandria,NLP;Python;JavaScript;Deep Learning;SQL,Machine Learning;Python;Deep Learning,Machine Learning Engineer,0.67,1,104738
133,PhD,2,Luxor,NLP;HTML;Python,Deep Learning;PyTorch;TensorFlow,Machine Learning Engineer,0.0,0,91619
134,Bachelor,2,Port Said,PyTorch;TensorFlow;Java;Deep Learning,Python;Machine Learning;TensorFlow,AI Engineer,0.33,0,77776
135,Master,5,Giza,TensorFlow;C++;PyTorch;Java;HTML;Python,C++;Java;Python,Software Developer,1.0,1,94573
136,Master,10,Port Said,CSS;HTML;Machine Learning;Python;SQL;C++,Java;HTML;JavaScript,Software Developer,0.33,0,117169
137,Bachelor,11,Giza,PyTorch;HTML;NLP;Deep Learning;C++;SQL,Deep Learning;PyTorch;Python,Machine Learning Engineer,0.67,1,122564
138,Master,2,Giza,CSS;Machine Learning;Deep Learning;Java,Machine Learning;NLP;SQL,Data Scientist,0.33,0,78275
139,Bachelor,13,Alexandria,Deep Learning;HTML;Python;PyTorch;NLP;C++,Python;Deep Learning;SQL,Data Scientist,0.67,1,125447
140,Bachelor,5,Cairo,JavaScript;TensorFlow;HTML;Python,Python;Deep Learning;Machine Learning,AI Engineer,0.33,0,93107
141,Bachelor,1,Luxor,TensorFlow;HTML;Deep Learning;JavaScript,Python;Machine Learning;Deep Learning,Machine Learning Engineer,0.33,0,74101
142,Bachelor,10,Port Said,Java;Python;C++;HTML,PyTorch;Python;Machine Learning,Machine Learning Engineer,0.33,0,110247
143,Master,14,Alexandria,PyTorch;HTML;SQL;Java;C++,Deep Learning;SQL;Machine Learning,Data Scientist,0.33,0,139135
144,Bachelor,2,Port Said,PyTorch;Java;CSS;JavaScript;Machine Learning,C++;Python;HTML,Software Developer,0.0,0,66879
145,Bachelor,3,Alexandria,SQL;HTML;Python;Deep Learning,CSS;JavaScript;C++,Software Developer,0.0,0,68094
146,Master,2,Cairo,NLP;HTML;CSS;PyTorch;JavaScript,SQL;Machine Learning;Deep Learning,Data Scientist,0.0,0,81944
147,Bachelor,14,Luxor,C++;CSS;JavaScript;PyTorch;TensorFlow,PyTorch;Python;TensorFlow,Machine Learning Engineer,0.67,1,131437
148,Bachelor,9,Alexandria,Deep Learning;SQL;PyTorch;CSS,Java;HTML;C++,Software Developer,0.0,0,99944
149,Master,8,Alexandria,JavaScript;CSS;Java;TensorFlow;C++,Deep Learning;TensorFlow;Machine Learning,AI Engineer,0.33,0,121593
150,Master,1,Cairo,Python;TensorFlow;JavaScript,Python;C++;CSS,Software Developer,0.33,0,73198
151,Master,0,Giza,TensorFlow;Machine Learning;HTML;SQL;NLP,CSS;Java;JavaScript,Software Developer,0.0,0,62112
152,Bachelor,13,Giza,SQL;Deep Learning;JavaScript;C++;TensorFlow;NLP,Python;HTML;CSS,Software Developer,0.0,0,122557
153,Bachelor,11,Luxor,Deep Learning;SQL;HTML,Machine Learning;Deep Learning;Python,Data Scientist,0.33,0,117848
154,Bachelor,1,Port Said,JavaScript;NLP;SQL;C++;Deep Learning;Machine Learning,C++;Python;CSS,Software Developer,0.33,0,63486
155,PhD,14,Giza,HTML;Python;Java;NLP;PyTorch,Deep Learning;TensorFlow;Machine Learning,AI Engineer,0.0,0,157047
156,Bachelor,9,Giza,Machine Learning;CSS;Python;Java;NLP;TensorFlow,Python;HTML;CSS,Software Developer,0.67,1,97287
157,Bachelor,12,Cairo,Deep Learning;CSS;Machine Learning;Java,PyTorch;TensorFlow;Deep Learning,Machine Learning Engineer,0.33,0,125902
158,Bachelor,3,Alexandria,NLP;Deep Learning;TensorFlow,C++;Python;CSS,Software Developer,0.0,0,74715
159,Bachelor,1,Cairo,PyTorch;Deep Learning;HTML;CSS,Machine Learning;PyTorch;TensorFlow,Machine Learning Engineer,0.33,0,70746
160,PhD,10,Alexandria,JavaScript;Machine Learning;PyTorch;Deep Learning;HTML;CSS,CSS;Java;HTML,Software Developer,0.67,1,123667
161,Bachelor,3,Giza,PyTorch;TensorFlow;Python;HTML;Machine Learning,PyTorch;Python;NLP,AI Engineer,0.67,1,81735
162,Bachelor,12,Alexandria,Python;JavaScript;Java;SQL,Deep Learning;Machine Learning;SQL,Data Scientist,0.33,0,119159
163,Bachelor,6,Giza,PyTorch;Python;C++;CSS;SQL;Machine Learning,Python;CSS;JavaScript,Software Developer,0.67,1,89799
164,Bachelor,5,Giza,CSS;Deep Learning;Machine Learning;HTML;SQL,Machine Learning;TensorFlow;PyTorch,AI Engineer,0.33,0,93247
165,Bachelor,9,Port Said,PyTorch;HTML;Deep Learning;TensorFlow,JavaScript;HTML;Python,Software Developer,0.33,0,97972
166,Bachelor,12,Giza,C++;Machine Learning;Python;TensorFlow;Java,CSS;HTML;Python,Software Developer,0.33,0,112070
